CS(=O)(=O)c1ccc(N2CCN=C2c2cccc(F)c2)cc1,random
Cc1oc(-c2ccccc2)nc1CCOc1cccc(CC2CN(c3nccc(C(F)(F)F)n3)CC2C(=O)O)c1,random
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)SCCc1ccccc1,random
Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCCC(=O)NO)n2)o1,active
Nc1ccccc1NC(=O)c1ccc(CSC2=NC(Cc3ccccc3)CO2)cc1,active
CN(C)Cc1ccc(CNC(=O)c2ccc3nncn3c2)cc1,random
COc1ccc(CC(=NO)C(=O)NCCS)cc1I,active
CC(C)n1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(Cl)c3)ccc21,random
O=C(CCCCc1cn(Cc2ccc3ccccc3c2)nn1)NO,active
Nc1ccccc1NC(=O)CCCCCCNC(=O)C=C1NC(=O)c2ccccc21,active
Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cc(CO)no3)n2)cc1,active
COc1cc(C2Oc3cc(O)c(CC=C(C)CCC=C(C)C)c(O)c3C(=O)C2O)ccc1O,random
COCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,active
OCCn1cc(-c2cnc3nnn(Cc4cc5cccnc5[nH]4)c3n2)cn1,random
CCCNNC(=O)c1ccc(CNCc2ccccc2)cc1,active
COc1cc2c(NCC3CCC(C(=O)NO)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,active
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,active
O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,active
Cc1ccc(Nc2ncnc3sc(NC(=O)CCCCCC(=O)NO)cc23)cc1C,active
O=C(CCCCc1cn(Cc2ccc(Br)cc2)nn1)NO,active
O=C(NO)c1ccc(CN2c3ccccc3CCCC3CCCCC32)cc1,active
Nc1cc(F)ccc1NC(=O)CCCCCCNC(=O)C=C1NC(=O)c2ccccc21,active
O=C(C=Cc1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]cn1,random
CCN(CC)CCNC(=O)c1ccc(-c2cn(CCCCCC(=O)NO)nn2)cn1,active
CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(C#N)cc1,random
O=C(C=Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)NO,active
O=C(CCCCCCCNc1nn2c(=O)c3cc(Br)ccc3nc2c2ccccc12)NO,active
Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)C=C2NC(=O)c3cc(Cl)c(Cl)cc32)cc1,active
CCC(C)(C)Cc1c[nH]c(CCc2ccc(-c3ccccc3C(=O)O)cc2)n1,random
CCOc1ncc(-c2cnc(C(CCCCCC(=O)CC)NC(=O)C3CC34CCN(C)CC4)[nH]2)cn1,active
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,random
CON=C(NCc1nc(Cl)cnc1N)Nc1ccc(N(C(=O)c2ccccc2)c2ccccc2)cc1,random
O=C(O)c1ccc(NC(=O)C(C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)nc1,random
Cc1c(=O)n(Cc2ccccc2)c(=O)n2cc(C(=O)NCc3cccnc3)sc12,random
COc1ccc2c(c1)-c1ccc3ccc(C)nc3c1NS2(=O)=O,random
